time timestep g1 g3 g1_regular g1_sticker
686.83 68683 7.73329 1.911 7.56596 5.467
699.6 69960 7.79807 1.93253 7.63251 5.50972
712.74 71274 7.87356 1.97368 7.70541 5.57663
725.99 72599 7.92388 2.00089 7.75512 5.61424
739.49 73949 8.00377 2.04106 7.83369 5.67422
753.24 75324 8.05205 2.05524 7.88237 5.70086
767.24 76724 8.12263 2.08456 7.94925 5.76307
781.5 78150 8.1773 2.10107 7.99998 5.82965
796.03 79603 8.24226 2.13772 8.06331 5.86563
810.83 81083 8.29176 2.1442 8.10775 5.91524
825.91 82591 8.3576 2.17949 8.17389 5.9726
841.26 84126 8.41673 2.20256 8.2294 6.03256
857.06 85706 8.47137 2.21951 8.28394 6.07852
873 87300 8.52741 2.23557 8.3382 6.11654
889.23 88923 8.59776 2.26834 8.40796 6.1767
905.76 90576 8.6739 2.2975 8.47954 6.24422
922.6 92260 8.72373 2.32016 8.5285 6.3033
939.75 93975 8.79234 2.36008 8.59506 6.37175
957.22 95722 8.82666 2.35883 8.62553 6.40329
975.02 97502 8.85433 2.36409 8.65189 6.41099
993.14 99314 8.9514 2.4109 8.74406 6.48187
1011.61 101161 9.00016 2.43189 8.79247 6.51969
1030.42 103042 9.06016 2.46596 8.85157 6.58269
1049.77 104977 9.11517 2.494 8.90252 6.6322
1069.28 106928 9.1972 2.5294 8.97936 6.71477
1089.16 108916 9.23815 2.54628 9.02072 6.73207
1109.41 110941 9.31014 2.5858 9.09281 6.79877
1130.04 113004 9.39428 2.62609 9.17147 6.87954
1151.05 115105 9.48458 2.66475 9.26128 6.9571
1172.45 117245 9.55551 2.70582 9.33144 7.04997
1194.24 119424 9.61231 2.72696 9.387 7.08206
1216.45 121645 9.67138 2.74759 9.44438 7.11666
1239.29 123929 9.73011 2.77393 9.49858 7.18681
1262.33 126233 9.76146 2.7923 9.53295 7.23807
1285.8 128580 9.82192 2.81261 9.58992 7.27919
1309.7 130970 9.8766 2.82432 9.64356 7.30905
1334.05 133405 9.95024 2.85353 9.70885 7.40579
1358.85 135885 10.0162 2.88264 9.77466 7.45131
1384.12 138412 10.0979 2.91736 9.85681 7.50951
1409.85 140985 10.1683 2.93377 9.92299 7.59465
1436.06 143606 10.1957 2.93718 9.94674 7.61826
1462.76 146276 10.2742 2.97409 10.0285 7.71466
1489.96 148996 10.3268 2.99584 10.0803 7.75406
1517.94 151794 10.4015 3.02296 10.1494 7.79618
1546.16 154616 10.4476 3.03527 10.1955 7.85877
1574.9 157490 10.5335 3.08553 10.2819 7.9227
1604.18 160418 10.5488 3.0758 10.2991 7.93181
1634.01 163401 10.609 3.11482 10.3544 7.99698
1664.38 166438 10.6776 3.14908 10.4259 8.03914
1695.33 169533 10.7557 3.18432 10.5026 8.12047
1726.85 172685 10.8132 3.22582 10.5566 8.15373
1758.95 175895 10.8754 3.25315 10.6172 8.2365
1791.98 179198 10.95 3.28819 10.6909 8.30821
1825.3 182530 10.9671 3.29863 10.7039 8.34753
1859.23 185923 11.0385 3.32288 10.7671 8.39806
1893.8 189380 11.1132 3.36726 10.8412 8.4495
1929.01 192901 11.1927 3.40457 10.9192 8.53022
1964.87 196487 11.2698 3.44813 10.9915 8.59385
2001.4 200140 11.3685 3.50185 11.0894 8.68897
2038.61 203861 11.4262 3.53125 11.1468 8.73678
2076.51 207651 11.5142 3.58313 11.2284 8.84602
2115.12 211512 11.564 3.61989 11.2813 8.89441
2154.44 215444 11.569 3.61298 11.2817 8.88418
2194.9 219490 11.6182 3.62787 11.3287 8.93195
2235.7 223570 11.6672 3.66625 11.377 8.99625
2277.27 227727 11.6901 3.65597 11.4031 8.98524
2319.61 231961 11.7656 3.67433 11.4753 9.07567
2362.73 236273 11.8419 3.70861 11.5471 9.1306
